Id,Last Edit / Deliberation Comment / Need to review,on/off,Empirical research specificity,Word / Pattern,Category name,Subitem category (functional role of sentence ( flow logic),Sensitivity to Additional Parameter,Sensitivity to Additional Parameter,Subitem category (functional role of sentence              ( flow logic),Sensitivity to Additional Parameter,Description,Status,Weight - TBD by Machine,Category number,MarkerTypeId,comment
7698,,,,purpose of this study,own purpose,,self ref,deictic work ref,,,,,,,,
7813,,,,purpose of this study is,own purpose,,self ref,deictic work ref,,,,,,,,
6845,,,,purpose of this study is to establish whether,own purpose,,self ref,deictic work ref,,,,,,,,
7814,,,,purpose of this study was,own purpose,,self ref,deictic work ref,,,,,,,,
7703,,,,purposes of this paper,own purpose,,self ref,deictic work ref,,,,,,,,
7820,,,,purposes of this paper are,own purpose,,self ref,deictic work ref,,,,,,,,
7821,,,,purposes of this paper were,own purpose,,self ref,deictic work ref,,,,,,,,
7701,,,,purposes of this research,own purpose,,self ref,deictic work ref,,,,,,,,
7822,,,,purposes of this research are,own purpose,,self ref,deictic work ref,,,,,,,,
7823,,,,purposes of this research were,own purpose,,self ref,deictic work ref,,,,,,,,
7699,,,,purposes of this study,own purpose,,self ref,deictic work ref,,,,,,,,
5720,,,,purposes of this study are,own purpose,,self ref,deictic work ref,,,,,,,,
7815,,,,purposes of this study were,own purpose,,self ref,deictic work ref,,,,,,,,
Sep13,,,,reason to conduct this study,own purpose,,self ref,deictic work ref,,,,,,,,
Sep13,,,,seek,own purpose,,self ref,deictic work ref,,,,,,,,
Sep13,,,,seeking to,own purpose,,self ref,deictic work ref,,,,,,,,
Sep13,,,,sought,own purpose,,self ref,deictic work ref,,,,,,,,
6844,,,,sought to,own purpose,,self ref,deictic work ref,,,,,,,,
7755,,,,the present paper attempted to,own purpose,,,deictic work ref,,,,,,,,
7752,,,,the present paper attempts to,own purpose,,,deictic work ref,,,,,,,,
7758,,,,the present paper investigated,own purpose,,,deictic work ref,,,,,,,,
7756,,,,the present paper investigates,own purpose,,,deictic work ref,,,,,,,,
7753,,,,the present paper seeks to,own purpose,,,deictic work ref,,,,,,,,
7754,,,,the present paper sought to,own purpose,,,deictic work ref,,,,,,,,
7757,,,,the present paper will show,own purpose,,,deictic work ref,,,,,,,,
7769,,,,the present research attempted to,own purpose,,,deictic work ref,,,,,,,,
7770,,,,the present research attempts to,own purpose,,,deictic work ref,,,,,,,,
7775,,,,the present research examines,own purpose,,,deictic work ref,,,,,,,,
7774,,,,the present research explores,own purpose,,,deictic work ref,,,,,,,,
7773,,,,the present research investigates,own purpose,,,deictic work ref,,,,,,,,
7771,,,,the present research seeks to,own purpose,,,deictic work ref,,,,,,,,
7772,,,,the present research sought to,own purpose,,,deictic work ref,,,,,,,,
7760,,,,the present study attempted to,own purpose,,,deictic work ref,,,,,,,,
7759,,,,the present study attempts to,own purpose,,,deictic work ref,,,,,,,,
5650,,,,the present study examined,own purpose,,,deictic work ref,,,,,,,,
7766,,,,the present study examines,own purpose,,,deictic work ref,,,,,,,,
7765,,,,the present study explored,own purpose,,,deictic work ref,,,,,,,,
7764,,,,the present study explores,own purpose,,,deictic work ref,,,,,,,,
7763,,,,the present study investigates,own purpose,,,deictic work ref,,,,,,,,
7761,,,,the present study seeks to,own purpose,,,deictic work ref,,,,,,,,
7762,,,,the present study sought to,own purpose,,,deictic work ref,,,,,,,,
7768,,,,the present study will show,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,then we,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,then we present,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,this article proposes a method for,own purpose,,,,,,,,,,,
4307,,,,this chapter investigates,own purpose,,,deictic work ref,,,,,,,,
7740,,,,this paper attempted,own purpose,,,deictic work ref,,,,,,,,
7678,,,,this paper attempts,own purpose,,,deictic work ref,,,,,,,,
4308,,,,this paper considers,own purpose,,self ref ,deictic work ref,,,,,,,,
7743,,,,this paper examines,own purpose,,self ref ,deictic work ref,,,,,,,,
7682,,,,this paper explores,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,this paper focused on,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,This paper gave a,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,this paper gives a,own purpose,,,deictic work ref,,,,,,,,
7741,,,,this paper investigates,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,this paper presents,own purpose,,,deictic work ref,,,,,,,,
4278,,,,this paper reports,own purpose,,,deictic work ref,,,,,,,,
7680,,,,this paper seeks to,own purpose,,,deictic work ref,,,,,,,,
6947,,,,this paper sought to,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,this paper will focus on,own purpose,,,deictic work ref,,,,,,,,
6924,,,,this paper will show,own purpose,,,deictic work ref,,,,,,,,
7744,,,,this research attempts to,own purpose,,,deictic work ref,,,,,,,,
7751,,,,this research examines,own purpose,,,deictic work ref,,,,,,,,
7750,,,,this research explores,own purpose,,,deictic work ref,,,,,,,,
7749,,,,this research investigates,own purpose,,,deictic work ref,,,,,,,,
7745,,,,this research seeks to,own purpose,,,deictic work ref,,,,,,,,
7679,,,,this study attempts,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,this study highlights the importance of,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,this study provides evidence that,own purpose,,,deictic work ref,,,,,,,,
7361,,,,this study seeks to,own purpose,,,deictic work ref,,,,,,,,
6948,,,,this study sought to,own purpose,,,deictic work ref,,,,,,,,
6925,,,,this study will show,own purpose,,,deictic work ref,,,,,,,,
7322,,,,"to answer these questions, we",own purpose,,,deictic work ref,,,,,,,,
7314,,,,to create a conceptual framework,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,we aim to find,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,we are interested,own purpose,,,deictic work ref,,,,,,,,
7883,,,,we ask why,own purpose,,,deictic work ref,,,,,,,,
7777,,,,we attempt to,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,we in contrast aim at,own purpose,,,deictic work ref,,,,,,,,
4339,,,,we present,own purpose,,self ref,deictic work ref,,,,,,,,
7832,,,,we present an overview of,own purpose,,self ref,deictic work ref,,,,,,,,
Sep13,,,,we review,own purpose,,,deictic work ref,,,,,,,,
7010,,,,we seek to,own purpose,,,deictic work ref,,,,,,,,
Sep13,,,,we seek to explain,own purpose,,,deictic work ref,,,,,,,,
5941,,,,we sought to,own purpose,,,,,,,,,,,
,,,,the purpose of this study,own purpose,,,,,,,,,,,
,,,,This study looked at the effects that,own purpose,,,,,,,,,,,
,,,,This paper is a ,own purpose,,,,,,,,,,,
,,,,This paper is a continuation of,own purpose,,,,,,,,,,,
,,,,This study is an attempt to,own purpose,,,,,,,,,,,
,,,,here we,own purpose,if in introduction,,,,,,,,,,
,,,,here we show that,own purpose,if in introduction,,,,,,,,,,
